employee_id,month,total_monthly_active_hours,expected_monthly_hours,ai_license_active,ai_queries_made,ai_hours_saved_est
4,10/1/2025,181.38,168,1,87,4.4
4,11/1/2025,169.88,168,1,49,2.4
4,12/1/2025,180.13,168,1,78,3.9
5,1/1/2025,182.55,168,0,1,0
5,2/1/2025,156.39000000000001,168,0,2,0.1
5,3/1/2025,167.3,168,0,4,0.2
5,4/1/2025,169,168,1,7,0.4
5,5/1/2025,165.95,168,1,9,0.4
5,6/1/2025,165.65,168,1,13,0.6
5,7/1/2025,194.06,168,1,12,0.6
5,8/1/2025,163.68,168,1,12,0.6
5,9/1/2025,185.17000000000002,168,1,18,0.9
5,10/1/2025,182.43,168,1,11,0.6
5,11/1/2025,153.46,168,1,12,0.6
5,12/1/2025,179.74,168,1,31,1.6
6,1/1/2025,191.13,168,0,5,0.2
6,2/1/2025,160.22,168,1,7,0.4
6,3/1/2025,178.88,168,1,15,0.8
6,4/1/2025,179.19,168,1,14,0.7
6,5/1/2025,175.39,168,1,21,1
6,6/1/2025,159.66,168,1,36,1.8
6,7/1/2025,190.84,168,1,27,1.4
6,8/1/2025,166.81,168,1,21,1
6,9/1/2025,192.68,168,1,46,2.3
6,10/1/2025,183.02,168,1,54,2.7
6,11/1/2025,166.89,168,1,38,1.9
6,12/1/2025,189.67,168,1,60,3
7,1/1/2025,179.63,168,0,1,0
7,2/1/2025,166.35,168,0,2,0.1
7,3/1/2025,173.99,168,0,5,0.2
7,4/1/2025,177.66,168,1,6,0.3
7,5/1/2025,173.85999999999999,168,1,6,0.3
7,6/1/2025,178.04,168,1,10,0.5
7,7/1/2025,186.95,168,1,10,0.5
7,8/1/2025,165.79999999999998,168,1,16,0.8
7,9/1/2025,165.96,168,1,12,0.6
7,10/1/2025,181.07,168,1,15,0.8
7,11/1/2025,160.98,168,1,22,1.1
7,12/1/2025,182.96,168,1,25,1.2
8,1/1/2025,180.21,168,0,1,0
8,2/1/2025,164.22,168,0,3,0.2
8,3/1/2025,163.19,168,0,3,0.2
8,4/1/2025,171.33,168,1,6,0.3
8,5/1/2025,178.97,168,1,7,0.4
8,6/1/2025,167.53,168,1,6,0.3
8,7/1/2025,176.39000000000001,168,1,14,0.7
8,8/1/2025,164.73,168,1,14,0.7
8,9/1/2025,171.07,168,1,17,0.8
8,10/1/2025,183.5,168,1,11,0.6
8,11/1/2025,153.09,168,1,18,0.9
8,12/1/2025,184.06,168,1,26,1.3
9,1/1/2025,180.22,168,0,5,0.2
9,2/1/2025,161.41,168,1,9,0.4
9,3/1/2025,162.81,168,1,15,0.8
9,4/1/2025,189.8,168,1,18,0.9
9,5/1/2025,175.43,168,1,27,1.4
9,6/1/2025,168.22,168,1,27,1.4
9,7/1/2025,184.41,168,1,38,1.9
9,8/1/2025,173.39000000000001,168,1,33,1.6
9,9/1/2025,178.09,168,1,45,2.2
9,10/1/2025,179.5,168,1,47,2.4
9,11/1/2025,166.8,168,1,46,2.3
9,12/1/2025,169.8,168,1,60,3
10,1/1/2025,189.38,168,0,5,0.2
10,2/1/2025,156.45,168,1,10,0.5
10,3/1/2025,174.79,168,1,13,0.6
10,4/1/2025,178.07,168,1,15,0.8
10,5/1/2025,174.62,168,1,30,1.5
10,6/1/2025,168.73,168,1,30,1.5
10,7/1/2025,182.32,168,1,24,1.2
10,8/1/2025,176.9,168,1,48,2.4
10,9/1/2025,178.19,168,1,47,2.4
10,10/1/2025,175.28,168,1,55,2.8
10,11/1/2025,162.65,168,1,52,2.6
10,12/1/2025,187.37,168,1,57,2.8
11,1/1/2025,186.36,168,0,5,0.2
11,2/1/2025,165.25,168,1,7,0.4
11,3/1/2025,181.55,168,1,10,0.5
11,4/1/2025,178.91,168,1,20,1
11,5/1/2025,170.11,168,1,18,0.9
11,6/1/2025,169.03,168,1,33,1.6
11,7/1/2025,170.87,168,1,16,0.8
11,8/1/2025,171.57,168,1,28,1.4
11,9/1/2025,180.56,168,1,46,2.3
11,10/1/2025,192,168,1,41,2.1
11,11/1/2025,160.52,168,1,38,1.9
11,12/1/2025,183.22,168,1,52,2.6
12,1/1/2025,182.99,168,0,1,0
12,2/1/2025,156.22,168,0,3,0.2
12,3/1/2025,167.01,168,0,4,0.2
12,4/1/2025,181.5,168,1,6,0.3
12,5/1/2025,184.88,168,1,10,0.5
12,6/1/2025,173.65,168,1,13,0.6
12,7/1/2025,180.84,168,1,18,0.9
12,8/1/2025,174.25,168,1,15,0.8
12,9/1/2025,183.64,168,1,15,0.8
12,10/1/2025,184.29,168,1,21,1
12,11/1/2025,170.9,168,1,20,1
12,12/1/2025,177.42,168,1,16,0.8
13,1/1/2025,186.15,168,0,2,0.1
13,2/1/2025,150.76,168,0,3,0.2
13,3/1/2025,170.49,168,1,6,0.3
13,4/1/2025,164.52,168,0,3,0.2
13,5/1/2025,169.17,168,1,12,0.6
13,6/1/2025,167.16,168,1,18,0.9
13,7/1/2025,179.71,168,1,11,0.6
13,8/1/2025,168.04,168,1,12,0.6
13,9/1/2025,177.71,168,1,21,1
13,10/1/2025,189.1,168,1,20,1
13,11/1/2025,164.82999999999998,168,1,27,1.4
13,12/1/2025,184.85,168,1,30,1.5
14,1/1/2025,169.24,168,0,3,0.2
14,2/1/2025,159.22,168,1,8,0.4
14,3/1/2025,175.10999999999999,168,1,13,0.6
14,4/1/2025,173.23,168,1,13,0.6
14,5/1/2025,183.22,168,1,23,1.2
14,6/1/2025,168.46,168,1,27,1.4
14,7/1/2025,179.88,168,1,29,1.5
14,8/1/2025,169.44,168,1,30,1.5
14,9/1/2025,185.29,168,1,61,3.1
14,10/1/2025,179.12,168,1,33,1.6
14,11/1/2025,163.87,168,1,50,2.5
14,12/1/2025,180.76,168,1,42,2.1
15,1/1/2025,185.69,168,0,2,0.1
15,2/1/2025,155.32999999999998,168,0,5,0.2
15,3/1/2025,169.04000000000002,168,0,4,0.2
15,4/1/2025,169.54,168,1,7,0.4
15,5/1/2025,172.95,168,1,7,0.4
15,6/1/2025,171.87,168,1,9,0.4
15,7/1/2025,187.06,168,1,13,0.6
15,8/1/2025,181.09,168,1,15,0.8
15,9/1/2025,176.63,168,1,24,1.2
15,10/1/2025,180.96,168,1,29,1.5
15,11/1/2025,169.39,168,1,25,1.2
15,12/1/2025,191.16,168,1,24,1.2
16,1/1/2025,187.13,168,0,3,0.2
16,2/1/2025,162,168,1,7,0.4
16,3/1/2025,170.51,168,1,11,0.6
16,4/1/2025,179.39,168,1,18,0.9
16,5/1/2025,181.96,168,1,25,1.2
16,6/1/2025,161.7,168,1,23,1.2
16,7/1/2025,186.87,168,1,29,1.5
16,8/1/2025,173.41,168,1,45,2.2
16,9/1/2025,176.11,168,1,45,2.2
16,10/1/2025,190.2,168,1,54,2.7
16,11/1/2025,163.72,168,1,52,2.6
16,12/1/2025,188.73,168,1,52,2.6
17,1/1/2025,184.4,168,0,3,0.2
17,2/1/2025,158.75,168,1,7,0.4
17,3/1/2025,169.52,168,1,11,0.6
17,4/1/2025,180.03,168,1,18,0.9
17,5/1/2025,173.85,168,1,17,0.8
17,6/1/2025,161.42000000000002,168,1,27,1.4
17,7/1/2025,177.20999999999998,168,1,23,1.2
17,8/1/2025,164.55,168,1,33,1.6
17,9/1/2025,178.73,168,1,46,2.3
17,10/1/2025,190.11,168,1,41,2.1
17,11/1/2025,166.88,168,1,45,2.2
17,12/1/2025,178.44,168,1,47,2.4
18,1/1/2025,183.54,168,0,1,0
18,2/1/2025,153.25,168,0,4,0.2
18,3/1/2025,165.26,168,0,5,0.2
18,4/1/2025,177.13,168,1,6,0.3
18,5/1/2025,185.05,168,1,9,0.4
18,6/1/2025,164.91,168,1,9,0.4
18,7/1/2025,180.37,168,1,14,0.7
18,8/1/2025,172.65,168,1,16,0.8
18,9/1/2025,177.64,168,1,21,1
18,10/1/2025,190.84,168,1,25,1.2
18,11/1/2025,166.11,168,1,18,0.9
18,12/1/2025,177.48,168,1,38,1.9
19,1/1/2025,177.66,168,0,1,0
19,2/1/2025,162.14000000000001,168,0,3,0.2
19,3/1/2025,166.97,168,1,8,0.4
19,4/1/2025,174.32,168,0,5,0.2
19,5/1/2025,175.26,168,1,9,0.4
19,6/1/2025,168.41,168,1,11,0.6
19,7/1/2025,174.44,168,1,14,0.7
19,8/1/2025,174.99,168,1,10,0.5
19,9/1/2025,168.26,168,1,21,1
19,10/1/2025,199.15,168,1,23,1.2
19,11/1/2025,165.57999999999998,168,1,13,0.6
19,12/1/2025,181.66,168,1,24,1.2
20,1/1/2025,178.54,168,0,1,0
20,2/1/2025,154.36,168,0,4,0.2
20,3/1/2025,167.56,168,1,7,0.4
20,4/1/2025,174.62,168,0,5,0.2
20,5/1/2025,173.82,168,1,8,0.4
20,6/1/2025,159.7,168,1,8,0.4
20,7/1/2025,181.85999999999999,168,1,13,0.6
20,8/1/2025,170.93,168,1,8,0.4
20,9/1/2025,172.87,168,1,11,0.6
20,10/1/2025,184.58,168,1,17,0.8
20,11/1/2025,156.89,168,1,19,1
20,12/1/2025,182.67,168,1,14,0.7
21,1/1/2025,183.98,168,0,1,0
21,2/1/2025,152.92000000000002,168,0,3,0.2
21,3/1/2025,177.82,168,1,6,0.3
21,4/1/2025,183.43,168,0,5,0.2
21,5/1/2025,169.79,168,1,7,0.4
21,6/1/2025,171.77,168,1,13,0.6
21,7/1/2025,180.51,168,1,14,0.7
21,8/1/2025,171.65,168,1,15,0.8
21,9/1/2025,187.59,168,1,16,0.8
21,10/1/2025,176.01,168,1,17,0.8
21,11/1/2025,160.07,168,1,19,1
21,12/1/2025,188.81,168,1,10,0.5
22,1/1/2025,174.75,168,1,6,0.3
22,2/1/2025,169.38,168,1,8,0.4
22,3/1/2025,167.61,168,1,15,0.8
22,4/1/2025,173.12,168,1,19,1
22,5/1/2025,180.5,168,1,30,1.5
22,6/1/2025,168.38,168,1,25,1.2
22,7/1/2025,180.92,168,1,35,1.8
22,8/1/2025,159.65,168,1,36,1.8
22,9/1/2025,176.92,168,1,56,2.8
22,10/1/2025,172.06,168,1,47,2.4
22,11/1/2025,168.47,168,1,33,1.6
22,12/1/2025,192.92000000000002,168,1,66,3.3
23,1/1/2025,175.76,168,0,2,0.1
23,2/1/2025,161.82999999999998,168,0,2,0.1
23,3/1/2025,164.86,168,0,5,0.2
23,4/1/2025,170.21,168,0,4,0.2
23,5/1/2025,175.03,168,1,8,0.4
23,6/1/2025,173.46,168,1,11,0.6
23,7/1/2025,177.19,168,1,8,0.4
23,8/1/2025,173.14000000000001,168,1,18,0.9
23,9/1/2025,179.18,168,1,17,0.8
23,10/1/2025,184.71,168,1,11,0.6
23,11/1/2025,168.4,168,1,15,0.8
23,12/1/2025,186.75,168,1,17,0.8
24,1/1/2025,191.84,168,0,4,0.2
24,2/1/2025,171.18,168,1,6,0.3
24,3/1/2025,169.75,168,1,17,0.8
24,4/1/2025,177.68,168,1,28,1.4
24,5/1/2025,178.75,168,1,23,1.2
24,6/1/2025,162.13,168,1,30,1.5
24,7/1/2025,194.74,168,1,22,1.1
24,8/1/2025,167.64,168,1,25,1.2
24,9/1/2025,175.7,168,1,51,2.6
24,10/1/2025,186.66,168,1,40,2
24,11/1/2025,171.16,168,1,76,3.8
24,12/1/2025,182.13,168,1,63,3.2
25,1/1/2025,178.87,168,0,4,0.2
25,2/1/2025,162.07,168,1,8,0.4
25,3/1/2025,161.67,168,1,15,0.8
25,4/1/2025,176.38,168,1,16,0.8
25,5/1/2025,173.23,168,1,15,0.8
25,6/1/2025,163.16,168,1,28,1.4
25,7/1/2025,185.24,168,1,37,1.8
25,8/1/2025,161.63,168,1,41,2.1
25,9/1/2025,175.28,168,1,28,1.4
25,10/1/2025,189.95,168,1,41,2.1
25,11/1/2025,162.12,168,1,36,1.8
25,12/1/2025,184.27,168,1,40,2
26,1/1/2025,178.45,168,0,4,0.2
26,2/1/2025,155.02,168,1,8,0.4
26,3/1/2025,180.64000000000001,168,1,24,1.2
26,4/1/2025,167.3,168,1,22,1.1
26,5/1/2025,183.18,168,1,21,1
26,6/1/2025,175.02,168,1,30,1.5
26,7/1/2025,182.78,168,1,33,1.6
26,8/1/2025,166.62,168,1,48,2.4
26,9/1/2025,184.78,168,1,45,2.2
26,10/1/2025,190.55,168,1,60,3
26,11/1/2025,161.97,168,1,71,3.6
26,12/1/2025,167.79,168,1,60,3
27,1/1/2025,184.54,168,0,2,0.1
27,2/1/2025,159.64,168,0,5,0.2
27,3/1/2025,175.63,168,0,4,0.2
27,4/1/2025,172.46,168,1,9,0.4
27,5/1/2025,183.35,168,1,9,0.4
27,6/1/2025,168.68,168,1,15,0.8
27,7/1/2025,194.13,168,1,18,0.9
27,8/1/2025,174.97,168,1,15,0.8
27,9/1/2025,186.49,168,1,17,0.8
27,10/1/2025,186.7,168,1,25,1.2
27,11/1/2025,162.23,168,1,20,1
27,12/1/2025,190.81,168,1,26,1.3
28,1/1/2025,194.59,168,0,1,0
28,2/1/2025,164.18,168,0,2,0.1
28,3/1/2025,169.03,168,1,7,0.4
28,4/1/2025,175.54,168,1,7,0.4
28,5/1/2025,168.21,168,1,11,0.6
28,6/1/2025,171.63,168,1,11,0.6
28,7/1/2025,189.47,168,1,9,0.4
28,8/1/2025,167.66,168,1,12,0.6
28,9/1/2025,173.35999999999999,168,1,16,0.8
28,10/1/2025,179.56,168,1,14,0.7
28,11/1/2025,161.92,168,1,19,1
28,12/1/2025,195.12,168,1,19,1
29,1/1/2025,184.93,168,0,4,0.2
29,2/1/2025,161.28,168,1,9,0.4
29,3/1/2025,167.38,168,1,9,0.4
29,4/1/2025,180.59,168,1,17,0.8
29,5/1/2025,171.85999999999999,168,1,18,0.9
29,6/1/2025,169.86,168,1,26,1.3
29,7/1/2025,186.31,168,1,24,1.2
29,8/1/2025,169.94,168,1,31,1.6
29,9/1/2025,177.42,168,1,43,2.2
29,10/1/2025,187.58,168,1,50,2.5
29,11/1/2025,168.53,168,1,36,1.8
29,12/1/2025,182.21,168,1,55,2.8
30,1/1/2025,187.74,168,0,2,0.1
30,2/1/2025,161.7,168,1,7,0.4
30,3/1/2025,168.39,168,1,16,0.8
30,4/1/2025,167.6,168,1,13,0.6
30,5/1/2025,179.1,168,1,21,1
30,6/1/2025,174.47,168,1,20,1
30,7/1/2025,188.84,168,1,24,1.2
30,8/1/2025,172.61,168,1,25,1.2
30,9/1/2025,175.74,168,1,46,2.3
30,10/1/2025,185.26999999999998,168,1,31,1.6
30,11/1/2025,148.21,168,1,48,2.4
30,12/1/2025,182.53,168,1,67,3.4
31,1/1/2025,184.02,168,0,5,0.2
31,2/1/2025,155.6,168,1,9,0.4
31,3/1/2025,175.82999999999998,168,1,11,0.6
31,4/1/2025,175.52,168,1,15,0.8
31,5/1/2025,182.60999999999999,168,1,17,0.8
31,6/1/2025,177.33,168,1,28,1.4
31,7/1/2025,189.17,168,1,17,0.8
31,8/1/2025,172.63,168,1,28,1.4
31,9/1/2025,186.41,168,1,43,2.2
31,10/1/2025,187.46,168,1,35,1.8
31,11/1/2025,168.55,168,1,38,1.9
31,12/1/2025,181.66,168,1,57,2.8
32,1/1/2025,180.9,168,0,5,0.2
32,2/1/2025,166.57999999999998,168,1,6,0.3
32,3/1/2025,183.24,168,1,12,0.6
32,4/1/2025,171.05,168,1,16,0.8
32,5/1/2025,170.08,168,1,20,1
32,6/1/2025,175.44,168,1,22,1.1
32,7/1/2025,179.75,168,1,23,1.2
32,8/1/2025,171.07,168,1,45,2.2
32,9/1/2025,165.02,168,1,28,1.4
32,10/1/2025,189.38,168,1,39,2
32,11/1/2025,168.28,168,1,41,2.1
32,12/1/2025,186.16,168,1,60,3
33,1/1/2025,194.72,168,0,4,0.2
33,2/1/2025,157.5,168,1,10,0.5
33,3/1/2025,170.66,168,1,12,0.6
33,4/1/2025,171.42,168,1,15,0.8
33,5/1/2025,171.39,168,1,17,0.8
33,6/1/2025,168.92000000000002,168,1,25,1.2
33,7/1/2025,189.51,168,1,21,1
33,8/1/2025,169.6,168,1,39,2
33,9/1/2025,182.2,168,1,42,2.1
33,10/1/2025,187.58,168,1,47,2.4
33,11/1/2025,158.28,168,1,79,4
33,12/1/2025,175.1,168,1,60,3
34,1/1/2025,182.49,168,1,6,0.3
34,2/1/2025,159.57,168,1,11,0.6
34,3/1/2025,174.67,168,1,16,0.8
34,4/1/2025,170.79999999999998,168,1,15,0.8
34,5/1/2025,175.47,168,1,28,1.4
34,6/1/2025,174.39,168,1,33,1.6
34,7/1/2025,185.79,168,1,28,1.4
34,8/1/2025,171.7,168,1,42,2.1
34,9/1/2025,167.38,168,1,51,2.6
34,10/1/2025,185.59,168,1,47,2.4
34,11/1/2025,162.13,168,1,43,2.2
34,12/1/2025,194.39,168,1,66,3.3
35,1/1/2025,187.71,168,0,4,0.2
35,2/1/2025,167.47,168,1,7,0.4
35,3/1/2025,165.74,168,1,23,1.2
35,4/1/2025,180.85,168,1,13,0.6
35,5/1/2025,181.56,168,1,19,1
35,6/1/2025,159.56,168,1,21,1
35,7/1/2025,174.25,168,1,43,2.2
35,8/1/2025,175.22,168,1,30,1.5
35,9/1/2025,178.74,168,1,37,1.8
35,10/1/2025,190.2,168,1,22,1.1
35,11/1/2025,157.63,168,1,52,2.6
35,12/1/2025,173.95,168,1,50,2.5
36,1/1/2025,184.49,168,0,4,0.2
36,2/1/2025,159.01,168,1,8,0.4
36,3/1/2025,152.51,168,1,13,0.6
36,4/1/2025,172.42,168,1,18,0.9
36,5/1/2025,192.4,168,1,14,0.7
36,6/1/2025,165.48,168,1,27,1.4
36,7/1/2025,179.49,168,1,29,1.5
36,8/1/2025,160.92,168,1,31,1.6
36,9/1/2025,180.76999999999998,168,1,39,2
36,10/1/2025,180.48,168,1,37,1.8
36,11/1/2025,153.57,168,1,52,2.6
36,12/1/2025,174.22,168,1,60,3
37,1/1/2025,181.99,168,0,3,0.2
37,2/1/2025,152.22,168,0,5,0.2
37,3/1/2025,169.78,168,1,13,0.6
37,4/1/2025,188.59,168,1,14,0.7
37,5/1/2025,179.46,168,1,23,1.2
37,6/1/2025,164.07999999999998,168,1,36,1.8
37,7/1/2025,185.65,168,1,18,0.9
37,8/1/2025,170.42000000000002,168,1,31,1.6
37,9/1/2025,178.24,168,1,28,1.4
37,10/1/2025,173.7,168,1,39,2
37,11/1/2025,158.59,168,1,45,2.2
37,12/1/2025,187.51,168,1,50,2.5
38,1/1/2025,185.03,168,0,1,0
38,2/1/2025,161.91,168,0,3,0.2
38,3/1/2025,173.51,168,0,4,0.2
38,4/1/2025,163.82,168,1,7,0.4
38,5/1/2025,180.02,168,1,10,0.5
38,6/1/2025,172.77,168,1,15,0.8
38,7/1/2025,177.15,168,1,16,0.8
38,8/1/2025,172.88,168,1,16,0.8
38,9/1/2025,184.31,168,1,23,1.2
38,10/1/2025,179.15,168,1,21,1
38,11/1/2025,163.76,168,1,16,0.8
38,12/1/2025,184.12,168,1,25,1.2
39,1/1/2025,181.28,168,0,1,0
39,2/1/2025,161.16,168,0,2,0.1
39,3/1/2025,160.91,168,1,6,0.3
39,4/1/2025,173.43,168,1,6,0.3
39,5/1/2025,184.08,168,1,8,0.4
39,6/1/2025,173.62,168,1,11,0.6
39,7/1/2025,184.42,168,1,11,0.6
39,8/1/2025,169.68,168,1,13,0.6
39,9/1/2025,175.59,168,1,14,0.7
39,10/1/2025,175.04,168,1,17,0.8
39,11/1/2025,157.37,168,1,12,0.6
39,12/1/2025,173.6,168,1,25,1.2
40,1/1/2025,186.63,168,0,2,0.1
40,2/1/2025,157.77,168,0,3,0.2
40,3/1/2025,171.76,168,1,8,0.4
40,4/1/2025,185.14,168,1,8,0.4
40,5/1/2025,185.87,168,1,10,0.5
40,6/1/2025,173.77,168,1,9,0.4
40,7/1/2025,186.13,168,1,9,0.4
40,8/1/2025,160.84,168,1,17,0.8
40,9/1/2025,176.61,168,1,23,1.2
40,10/1/2025,192.62,168,1,19,1
40,11/1/2025,164.15,168,1,18,0.9
40,12/1/2025,183.59,168,1,20,1
41,1/1/2025,185.2,168,0,2,0.1
41,2/1/2025,168.74,168,1,9,0.4
41,3/1/2025,165.65,168,1,8,0.4
41,4/1/2025,181,168,1,19,1
41,5/1/2025,170.94,168,1,17,0.8
41,6/1/2025,170.64,168,1,21,1
41,7/1/2025,180.59,168,1,30,1.5
41,8/1/2025,167.56,168,1,25,1.2
41,9/1/2025,176.07999999999998,168,1,33,1.6
41,10/1/2025,186.95,168,1,31,1.6
41,11/1/2025,165.19,168,1,50,2.5
41,12/1/2025,182.9,168,1,60,3
42,1/1/2025,185.14,168,1,6,0.3
42,2/1/2025,159.88,168,1,9,0.4
42,3/1/2025,165,168,1,15,0.8
42,4/1/2025,175.09,168,1,15,0.8
42,5/1/2025,181.76,168,1,32,1.6
42,6/1/2025,170.25,168,1,37,1.8
42,7/1/2025,178.55,168,1,47,2.4
42,8/1/2025,164.65,168,1,27,1.4
42,9/1/2025,171.57999999999998,168,1,63,3.2
42,10/1/2025,185.46,168,1,60,3
42,11/1/2025,162.91,168,1,52,2.6
42,12/1/2025,198.07,168,1,57,2.8
43,1/1/2025,180.63,168,0,2,0.1
43,2/1/2025,156.11,168,0,1,0
43,3/1/2025,175.98,168,0,4,0.2
43,4/1/2025,178.7,168,1,7,0.4
43,5/1/2025,179.53,168,1,11,0.6
43,6/1/2025,162.79,168,1,12,0.6
43,7/1/2025,169.64,168,1,13,0.6
43,8/1/2025,175.71,168,1,10,0.5
43,9/1/2025,174.08,168,1,15,0.8
43,10/1/2025,183.56,168,1,12,0.6
43,11/1/2025,156.39,168,1,21,1
43,12/1/2025,195.05,168,1,21,1
44,1/1/2025,183.78,168,0,1,0
44,2/1/2025,172.03,168,0,3,0.2
44,3/1/2025,176.41,168,0,5,0.2
44,4/1/2025,176.04,168,0,4,0.2
44,5/1/2025,177.27,168,1,10,0.5
44,6/1/2025,166.85,168,1,11,0.6
44,7/1/2025,178.79,168,1,18,0.9
44,8/1/2025,174.51,168,1,16,0.8
44,9/1/2025,172.24,168,1,23,1.2
44,10/1/2025,182.28,168,1,29,1.5
44,11/1/2025,162.37,168,1,25,1.2
44,12/1/2025,178.23,168,1,18,0.9
45,1/1/2025,174.55,168,0,3,0.2
45,2/1/2025,157.19,168,1,6,0.3
45,3/1/2025,175.64,168,1,8,0.4
45,4/1/2025,173.55,168,1,15,0.8
45,5/1/2025,177.82,168,1,23,1.2
45,6/1/2025,161.81,168,1,18,0.9
45,7/1/2025,179.5,168,1,26,1.3
45,8/1/2025,165.18,168,1,20,1
45,9/1/2025,183.37,168,1,43,2.2
45,10/1/2025,188.15,168,1,45,2.2
45,11/1/2025,168.19,168,1,34,1.7
45,12/1/2025,190.73000000000002,168,1,62,3.1
46,1/1/2025,178.84,168,1,7,0.4
46,2/1/2025,149.36,168,1,7,0.4
46,3/1/2025,168.97,168,1,11,0.6
46,4/1/2025,173.24,168,1,13,0.6
46,5/1/2025,179.44,168,1,16,0.8
46,6/1/2025,166.41,168,1,23,1.2
46,7/1/2025,189.79,168,1,37,1.8
46,8/1/2025,172.3,168,1,41,2.1
46,9/1/2025,181.5,168,1,46,2.3
46,10/1/2025,188.07,168,1,22,1.1
46,11/1/2025,159.66,168,1,45,2.2
46,12/1/2025,175.15,168,1,35,1.8
47,1/1/2025,177.68,168,0,1,0
47,2/1/2025,160.04,168,0,4,0.2
47,3/1/2025,168.9,168,0,4,0.2
47,4/1/2025,175.03,168,1,7,0.4
47,5/1/2025,173.99,168,0,5,0.2
47,6/1/2025,162.25,168,1,10,0.5
47,7/1/2025,190.94,168,1,11,0.6
47,8/1/2025,171.05,168,1,16,0.8
47,9/1/2025,178.2,168,1,15,0.8
47,10/1/2025,187.44,168,1,17,0.8
47,11/1/2025,156.84,168,1,22,1.1
47,12/1/2025,191.38,168,1,23,1.2
48,1/1/2025,182.95,168,1,6,0.3
48,2/1/2025,152.39,168,1,10,0.5
48,3/1/2025,176.77,168,1,9,0.4
48,4/1/2025,175.87,168,1,19,1
48,5/1/2025,177.28,168,1,14,0.7
48,6/1/2025,176.03,168,1,22,1.1
48,7/1/2025,184.16,168,1,29,1.5
48,8/1/2025,166.18,168,1,33,1.6
48,9/1/2025,166.53,168,1,30,1.5
48,10/1/2025,192.41,168,1,39,2
48,11/1/2025,149.57,168,1,38,1.9
48,12/1/2025,183.72,168,1,47,2.4
49,1/1/2025,190.27,168,0,1,0
49,2/1/2025,152.88,168,0,3,0.2
49,3/1/2025,161.91,168,0,2,0.1
49,4/1/2025,167.68,168,1,8,0.4
49,5/1/2025,172.53,168,1,7,0.4
49,6/1/2025,160.06,168,1,9,0.4
49,7/1/2025,188.85999999999999,168,1,12,0.6
49,8/1/2025,172.78,168,1,14,0.7
49,9/1/2025,181.71,168,1,16,0.8
49,10/1/2025,190.93,168,1,15,0.8
49,11/1/2025,167.56,168,1,15,0.8
49,12/1/2025,188.79,168,1,20,1
50,1/1/2025,177.64,168,0,1,0
50,2/1/2025,154.31,168,0,2,0.1
50,3/1/2025,170.66,168,0,5,0.2
50,4/1/2025,181.36,168,0,4,0.2
50,5/1/2025,189.02,168,1,7,0.4
50,6/1/2025,176.72,168,1,6,0.3
50,7/1/2025,183.44,168,1,10,0.5
50,8/1/2025,165.51,168,1,8,0.4
50,9/1/2025,172.09,168,1,18,0.9
50,10/1/2025,185.06,168,1,15,0.8
50,11/1/2025,159.28,168,1,12,0.6
50,12/1/2025,186.41,168,1,15,0.8
51,1/1/2025,188.6,168,0,5,0.2
51,2/1/2025,165.05,168,0,5,0.2
51,3/1/2025,170.09,168,1,13,0.6
