review_date,employee_id,performance_score,potential_rating
6/30/2025,145,1.9,High
6/30/2025,146,3.4,Medium
6/30/2025,147,2.7,Low
6/30/2025,148,2.1,High
6/30/2025,149,2.8,Medium
6/30/2025,150,2.3,Medium
6/30/2025,151,2.6,Low
6/30/2025,152,3.4,Medium
6/30/2025,153,2.1,Medium
6/30/2025,154,3.9,High
6/30/2025,155,3,Medium
6/30/2025,156,2.6,High
6/30/2025,157,3,Low
6/30/2025,158,2.4,Medium
6/30/2025,159,2.4,Low
6/30/2025,160,2.9,Medium
6/30/2025,161,3.4,Low
6/30/2025,162,3.6,Medium
6/30/2025,163,2.8,Low
6/30/2025,164,3,High
6/30/2025,165,3.4,Low
6/30/2025,166,4.5,High
6/30/2025,167,3.3,High
6/30/2025,168,2.7,Medium
6/30/2025,169,2.5,Medium
6/30/2025,170,3.9,Low
6/30/2025,171,1.4,Medium
6/30/2025,172,2.8,Medium
6/30/2025,173,2.5,Medium
6/30/2025,174,3.8,Low
6/30/2025,175,4.2,Medium
6/30/2025,176,3,Medium
6/30/2025,177,2.6,Low
6/30/2025,178,3.1,Low
6/30/2025,179,3.5,Low
6/30/2025,180,3.6,Low
6/30/2025,181,3.1,Medium
6/30/2025,182,4.3,Medium
6/30/2025,183,2.7,Medium
6/30/2025,184,2.9,High
6/30/2025,185,2.9,High
6/30/2025,186,3.4,High
6/30/2025,187,3.9,Low
6/30/2025,188,2.2,Medium
6/30/2025,189,2.3,Medium
6/30/2025,190,3.4,High
6/30/2025,191,2.3,Medium
6/30/2025,192,3,Medium
6/30/2025,193,2.9,Medium
6/30/2025,194,4.1,Medium
6/30/2025,195,4.5,Medium
6/30/2025,196,2.8,Medium
6/30/2025,197,3.6,High
6/30/2025,198,2.9,Medium
6/30/2025,199,3.8,Low
6/30/2025,200,2.3,Low
6/30/2025,201,4.1,Medium
6/30/2025,202,2.7,Low
6/30/2025,203,2.1,Low
6/30/2025,204,2.8,High
6/30/2025,205,3,Low
6/30/2025,206,2.4,Medium
6/30/2025,207,3.2,High
6/30/2025,208,3.7,Medium
6/30/2025,209,2.6,High
6/30/2025,210,4.4,Low
6/30/2025,211,5,Low
6/30/2025,212,3,Medium
6/30/2025,213,3.7,Medium
6/30/2025,214,3.5,Medium
6/30/2025,215,3.1,Medium
6/30/2025,216,3,Medium
6/30/2025,217,1.9,Medium
6/30/2025,218,3.1,Medium
6/30/2025,219,3.8,High
6/30/2025,220,2.7,Medium
6/30/2025,221,1,High
6/30/2025,222,4.4,High
6/30/2025,223,3.5,Medium
6/30/2025,224,4.1,Medium
6/30/2025,225,3,Medium
6/30/2025,226,3.3,Medium
6/30/2025,227,3.7,High
6/30/2025,228,2.9,Low
6/30/2025,229,4.1,Medium
6/30/2025,230,2.8,Medium
6/30/2025,231,4.8,Medium
6/30/2025,232,2.3,Medium
6/30/2025,233,3.6,Medium
6/30/2025,234,2.7,Medium
6/30/2025,235,2.5,Medium
6/30/2025,236,2.5,High
6/30/2025,237,1.1,Medium
6/30/2025,238,2.4,Medium
6/30/2025,239,3.9,Low
6/30/2025,240,3.8,High
6/30/2025,241,2.3,Medium
6/30/2025,242,3.6,Medium
6/30/2025,243,2.6,Medium
6/30/2025,244,1.7,Medium
6/30/2025,245,3.9,Low
6/30/2025,246,4,Medium
6/30/2025,247,2.8,Medium
6/30/2025,248,4.1,Medium
6/30/2025,249,3.1,High
6/30/2025,250,3.3,High
6/30/2025,251,3.1,Low
6/30/2025,252,2.2,Medium
6/30/2025,253,3,Medium
6/30/2025,254,2.3,Medium
6/30/2025,255,3.6,Low
6/30/2025,256,3.7,High
6/30/2025,257,1.7,Medium
6/30/2025,258,3.7,Medium
6/30/2025,259,3.1,High
6/30/2025,260,1.8,Low
6/30/2025,261,3.4,Medium
6/30/2025,262,2.9,Medium
6/30/2025,263,2.6,Medium
6/30/2025,264,2.3,Medium
6/30/2025,265,3.5,Medium
6/30/2025,266,3.3,Medium
6/30/2025,267,3.3,Low
6/30/2025,268,4.1,Medium
6/30/2025,269,4.4,Medium
6/30/2025,270,1.6,Medium
6/30/2025,271,3.5,Low
6/30/2025,272,2.8,Low
6/30/2025,273,3.6,Medium
6/30/2025,274,2.6,Medium
6/30/2025,275,4.7,Medium
6/30/2025,276,3.6,High
6/30/2025,277,3,Medium
6/30/2025,278,4.1,Low
6/30/2025,279,2.5,Medium
6/30/2025,280,3.7,Low
6/30/2025,281,3,Medium
6/30/2025,282,3.1,Low
6/30/2025,283,4.6,High
6/30/2025,284,5,Medium
6/30/2025,285,3.5,Medium
6/30/2025,286,2.6,Low
6/30/2025,287,3.1,High
6/30/2025,288,2.6,Medium
6/30/2025,289,2.7,Medium
6/30/2025,290,3.3,Low
6/30/2025,291,2.7,Low
6/30/2025,292,4.1,Medium
6/30/2025,293,3,Medium
6/30/2025,294,3.2,Medium
6/30/2025,295,2.8,Medium
6/30/2025,296,2.2,Low
6/30/2025,297,2.3,Medium
6/30/2025,298,3.4,High
6/30/2025,299,2.9,High
6/30/2025,300,3.4,Medium
6/30/2025,301,4,Medium
6/30/2025,302,2.6,Medium
6/30/2025,303,4.9,Medium
6/30/2025,304,2.4,High
6/30/2025,305,2.3,Low
6/30/2025,306,3.9,Medium
6/30/2025,307,3.2,Medium
6/30/2025,308,2.6,High
6/30/2025,309,2.2,Medium
6/30/2025,310,2.4,Low
6/30/2025,311,3.2,High
6/30/2025,312,4.3,Low
6/30/2025,313,1.9,Medium
6/30/2025,314,3.3,Low
6/30/2025,315,3.8,Medium
6/30/2025,316,2.8,High
6/30/2025,317,4.3,Medium
6/30/2025,318,3.4,Low
6/30/2025,319,3.8,Medium
6/30/2025,320,3.8,Medium
6/30/2025,321,4.1,Low
6/30/2025,322,3.1,Medium
6/30/2025,323,4.5,Medium
6/30/2025,324,3.1,Medium
6/30/2025,325,3,Low
6/30/2025,326,3,Medium
6/30/2025,327,2.9,Medium
6/30/2025,328,2.9,Low
6/30/2025,329,3.2,Medium
6/30/2025,330,3.3,Low
6/30/2025,331,3.3,Medium
6/30/2025,332,3,High
6/30/2025,333,3.8,Low
6/30/2025,334,3.3,Medium
6/30/2025,335,3.5,High
6/30/2025,336,2.5,Medium
6/30/2025,337,2.2,Medium
6/30/2025,338,3.7,Low
6/30/2025,339,3.8,Medium
6/30/2025,340,2.4,High
6/30/2025,341,2.3,Medium
6/30/2025,342,4.2,Medium
6/30/2025,343,2.8,High
6/30/2025,344,2.7,Medium
6/30/2025,345,2.3,Medium
6/30/2025,346,2.3,Medium
6/30/2025,347,4.9,Medium
6/30/2025,348,3.1,Medium
6/30/2025,349,2.9,Low
6/30/2025,350,2.3,Low
6/30/2025,351,1.9,Medium
6/30/2025,352,4.5,Medium
6/30/2025,353,4,Medium
6/30/2025,354,3.3,Low
6/30/2025,355,1.1,Medium
6/30/2025,356,3,Medium
6/30/2025,357,3.3,High
6/30/2025,358,3.3,High
6/30/2025,359,1,Medium
6/30/2025,360,4.3,High
6/30/2025,361,3.5,Medium
6/30/2025,362,1.3,High
6/30/2025,363,2.8,Medium
6/30/2025,364,2.6,Medium
6/30/2025,365,3.2,Medium
6/30/2025,366,3,High
6/30/2025,367,3.5,Medium
6/30/2025,368,1.7,Medium
6/30/2025,369,3.3,High
6/30/2025,370,2.4,Low
6/30/2025,371,2.7,Medium
6/30/2025,372,3.1,Medium
6/30/2025,373,4.4,Low
6/30/2025,374,3.6,Medium
6/30/2025,375,3.1,High
6/30/2025,376,2.1,High
6/30/2025,377,3.2,Medium
6/30/2025,378,2.4,Low
6/30/2025,379,4,Low
6/30/2025,380,3.1,Medium
6/30/2025,381,2.3,Medium
6/30/2025,382,3.1,Medium
6/30/2025,383,3.9,Medium
6/30/2025,384,3.9,High
6/30/2025,385,3,Medium
6/30/2025,386,3.7,High
6/30/2025,387,3.3,Medium
6/30/2025,388,1.8,High
6/30/2025,389,2.9,Low
6/30/2025,390,1.9,Medium
6/30/2025,391,3.7,Medium
6/30/2025,392,2.6,Low
6/30/2025,393,3.3,Medium
6/30/2025,394,1.8,Medium
6/30/2025,395,3.3,Low
6/30/2025,396,3.1,Medium
6/30/2025,397,3.5,High
6/30/2025,398,2.9,Medium
6/30/2025,399,3.2,Medium
6/30/2025,400,4.1,High
6/30/2025,401,3.9,Medium
6/30/2025,402,4.8,Medium
6/30/2025,403,5,Low
6/30/2025,404,5,Medium
6/30/2025,405,3.2,Medium
6/30/2025,406,3.3,High
6/30/2025,407,4.7,Medium
6/30/2025,408,4.2,Low
6/30/2025,409,2.7,Medium
6/30/2025,410,2.5,Medium
6/30/2025,411,1.7,Medium
6/30/2025,412,3.5,Medium
6/30/2025,413,4.3,High
6/30/2025,414,2.6,Medium
6/30/2025,415,2.6,Medium
6/30/2025,416,1,High
6/30/2025,417,3.7,Medium
6/30/2025,418,4,Medium
6/30/2025,419,3.4,Medium
6/30/2025,420,2.6,Medium
6/30/2025,421,3,Medium
6/30/2025,422,2.9,High
6/30/2025,423,3.6,High
6/30/2025,424,2.6,High
6/30/2025,425,2.2,High
6/30/2025,426,1.7,Medium
6/30/2025,427,2.7,Medium
6/30/2025,428,4,Low
6/30/2025,429,2.5,Low
6/30/2025,430,1.9,Medium
6/30/2025,431,2.2,Medium
6/30/2025,432,2.4,Medium
6/30/2025,433,2.7,High
6/30/2025,434,2.1,Medium
6/30/2025,435,1.5,High
6/30/2025,436,3.8,Medium
6/30/2025,437,2.3,Medium
6/30/2025,438,3.4,Low
6/30/2025,439,2.7,Medium
6/30/2025,440,2.5,High
6/30/2025,441,3.7,Low
6/30/2025,442,3.1,Medium
6/30/2025,443,4.2,Low
6/30/2025,444,2.7,Medium
6/30/2025,445,2.3,Medium
6/30/2025,446,2.9,Medium
6/30/2025,447,2.7,Medium
6/30/2025,448,4.5,Medium
6/30/2025,449,2.6,Medium
6/30/2025,450,3.4,High
6/30/2025,451,3.1,High
6/30/2025,452,2.3,Medium
6/30/2025,453,2.5,Medium
6/30/2025,454,3.3,Medium
6/30/2025,455,3.3,Medium
6/30/2025,456,2.9,Medium
6/30/2025,457,3.1,Low
6/30/2025,458,1.8,Medium
6/30/2025,459,2.5,Medium
6/30/2025,460,3.9,Medium
6/30/2025,461,2.7,Medium
6/30/2025,462,3.9,High
6/30/2025,463,4.1,Medium
6/30/2025,464,4.1,High
6/30/2025,465,4.5,Low
6/30/2025,466,3.5,Medium
6/30/2025,467,4.4,Medium
6/30/2025,468,3.9,High
6/30/2025,469,1.8,Medium
6/30/2025,470,3.5,Low
6/30/2025,471,5,Medium
6/30/2025,472,1.6,Low
6/30/2025,473,3.1,Medium
6/30/2025,474,2.3,Medium
6/30/2025,475,2.5,Low
6/30/2025,476,2.7,Medium
6/30/2025,477,3.5,High
6/30/2025,478,2.9,Medium
6/30/2025,479,3.4,High
6/30/2025,480,4.7,Medium
6/30/2025,481,4,Medium
6/30/2025,482,3.3,Low
6/30/2025,483,2.9,Medium
6/30/2025,484,3.5,Low
6/30/2025,485,1.8,Medium
6/30/2025,486,2.8,Low
6/30/2025,487,3.6,Low
6/30/2025,488,3.3,Medium
6/30/2025,489,4,Low
6/30/2025,490,3.9,High
6/30/2025,491,3.5,Medium
6/30/2025,492,2.9,Medium
6/30/2025,493,2.7,High
6/30/2025,494,4.1,Medium
6/30/2025,495,3.5,Low
6/30/2025,496,2.5,Medium
6/30/2025,497,4,Medium
6/30/2025,498,3.5,Low
6/30/2025,499,3.1,Medium
6/30/2025,500,3.8,High
6/30/2025,501,3.6,High
6/30/2025,502,4.3,Low
6/30/2025,503,4.3,Medium
6/30/2025,504,2.8,Medium
6/30/2025,505,3.1,High
6/30/2025,506,2.9,Low
6/30/2025,507,4.7,Medium
6/30/2025,508,3.8,Medium
6/30/2025,509,3.2,Medium
6/30/2025,510,2.6,High
6/30/2025,511,3.2,Medium
6/30/2025,512,1.4,Medium
6/30/2025,513,2.9,Medium
6/30/2025,514,2.4,Medium
6/30/2025,515,3.9,Low
6/30/2025,516,2.9,Medium
6/30/2025,517,3.3,High
6/30/2025,518,3.1,Medium
6/30/2025,519,4,Low
6/30/2025,520,4,Medium
6/30/2025,521,3.6,Medium
6/30/2025,522,3.4,Low
6/30/2025,523,1.9,Low
6/30/2025,524,3,Medium
6/30/2025,525,4.1,Medium
6/30/2025,526,3.4,Medium
6/30/2025,527,2.9,Low
6/30/2025,528,2.8,Low
6/30/2025,529,2.8,Medium
6/30/2025,530,3.3,High
6/30/2025,531,2.7,Medium
6/30/2025,532,4.1,Medium
6/30/2025,533,1.8,Low
6/30/2025,534,3.8,Medium
6/30/2025,535,4.3,Medium
6/30/2025,536,2.4,Medium
6/30/2025,537,3.7,Low
6/30/2025,538,3.5,High
6/30/2025,539,2.6,High
6/30/2025,540,2.3,Low
6/30/2025,541,3.6,High
6/30/2025,542,4.7,Medium
6/30/2025,543,4.2,Medium
6/30/2025,544,3.7,Medium
6/30/2025,545,3.6,Medium
6/30/2025,546,3.4,Low
6/30/2025,547,3.1,Medium
6/30/2025,548,3.6,Low
6/30/2025,549,2.5,Medium
6/30/2025,550,3.9,Medium
6/30/2025,551,3.2,Low
6/30/2025,552,3.2,High
6/30/2025,553,4.5,Low
6/30/2025,554,2.2,Low
6/30/2025,555,3.7,Medium
6/30/2025,556,4.4,Medium
6/30/2025,557,3.6,Medium
6/30/2025,558,3.4,Medium
6/30/2025,559,3.2,Medium
6/30/2025,560,3.9,Medium
6/30/2025,561,1.6,High
6/30/2025,562,3.6,Low
6/30/2025,563,3,Medium
6/30/2025,564,3.2,High
6/30/2025,565,3.6,Medium
6/30/2025,566,2.5,Medium
6/30/2025,567,2.7,Low
6/30/2025,568,4.3,Low
6/30/2025,569,2.9,Low
6/30/2025,570,2.3,Low
6/30/2025,571,3.6,Low
6/30/2025,572,4.3,Medium
6/30/2025,573,2.2,Medium
6/30/2025,574,4,Medium
6/30/2025,575,4.4,Low
6/30/2025,576,4,Medium
6/30/2025,577,3.1,High
6/30/2025,578,4.1,High
6/30/2025,579,4.2,High
6/30/2025,580,2.3,Medium
6/30/2025,581,3.8,Low
6/30/2025,582,3.3,Medium
6/30/2025,583,3.3,Medium
6/30/2025,584,1.8,Medium
6/30/2025,585,1.7,Medium
6/30/2025,586,3.3,Medium
6/30/2025,587,3.1,Medium
6/30/2025,588,3.1,High
6/30/2025,589,3,Medium
6/30/2025,590,2.4,Medium
6/30/2025,591,3.9,Low
6/30/2025,592,4.4,Low
6/30/2025,593,2.1,High
6/30/2025,594,3.8,Medium
6/30/2025,595,2.2,Medium
6/30/2025,596,3,High
6/30/2025,597,3.5,High
6/30/2025,598,2.7,Medium
6/30/2025,599,2.5,High
6/30/2025,600,3.2,Medium
6/30/2025,601,3.9,Low
6/30/2025,602,2.8,Low
6/30/2025,603,2.5,Medium
6/30/2025,604,2.8,Low
6/30/2025,605,4.1,Medium
6/30/2025,606,3.2,Medium
6/30/2025,607,3.3,Low
6/30/2025,608,2.9,Low
6/30/2025,609,3.1,Low
6/30/2025,610,3.8,Medium
6/30/2025,611,3.3,High
6/30/2025,612,4.6,Medium
6/30/2025,613,2.8,Low
6/30/2025,614,4.3,Low
6/30/2025,615,2.1,Medium
6/30/2025,616,3.3,Medium
6/30/2025,617,3.2,High
6/30/2025,618,4.3,Medium
6/30/2025,619,2.9,High
6/30/2025,620,4.6,Medium
6/30/2025,621,2,Medium
6/30/2025,622,2.6,Medium
6/30/2025,623,2.7,Medium
6/30/2025,624,2.2,High
6/30/2025,625,3.2,High
6/30/2025,626,3,Medium
6/30/2025,627,4,Low
6/30/2025,628,2.3,Medium
6/30/2025,629,5,Low
6/30/2025,630,4.5,Medium
6/30/2025,631,2.7,Medium
6/30/2025,632,3.7,Medium
6/30/2025,633,2.7,Medium
6/30/2025,634,3.7,High
6/30/2025,635,2.1,Medium
6/30/2025,636,3.7,Medium
6/30/2025,637,2.9,Medium
6/30/2025,638,2,Medium
6/30/2025,639,3.2,Medium
6/30/2025,640,3.2,Medium
6/30/2025,641,3.3,Medium
6/30/2025,642,4.6,Medium
6/30/2025,643,2.9,Medium
6/30/2025,644,3.1,Medium
6/30/2025,645,2.1,High
6/30/2025,646,3.5,Medium
6/30/2025,647,3.1,Medium
6/30/2025,648,2.3,Medium
6/30/2025,649,3.3,Low
6/30/2025,650,2.5,Medium
6/30/2025,651,4.9,Medium
6/30/2025,652,2.9,High
6/30/2025,653,2.3,Medium
6/30/2025,654,3.6,Low
6/30/2025,655,1.1,High
6/30/2025,656,2.2,Medium
6/30/2025,657,4,Low
6/30/2025,658,2.2,Medium
6/30/2025,659,3.8,Medium
6/30/2025,660,4,High
6/30/2025,661,4.5,Low
6/30/2025,662,2.3,High
6/30/2025,663,2.6,Medium
6/30/2025,664,3.9,Medium
6/30/2025,665,4.1,Medium
6/30/2025,666,2.7,Medium
6/30/2025,667,1.9,Low
6/30/2025,668,2.2,Low
6/30/2025,669,2.2,Medium
6/30/2025,670,3,Low
6/30/2025,671,3.4,Medium
6/30/2025,672,2.8,Medium
6/30/2025,673,3.3,Medium
6/30/2025,674,4.2,High
6/30/2025,675,2.7,Medium
6/30/2025,676,3.1,Medium
6/30/2025,677,3.7,Medium
6/30/2025,678,3.6,Medium
6/30/2025,679,3.6,High
6/30/2025,680,2.8,High
6/30/2025,681,3.8,Low
6/30/2025,682,3.3,Medium
6/30/2025,683,2.3,Medium
6/30/2025,684,3.2,High
6/30/2025,685,3,Medium
6/30/2025,686,1.6,Medium
6/30/2025,687,4.9,Low
6/30/2025,688,3.2,Medium
6/30/2025,689,4.8,Medium
6/30/2025,690,3.5,Low
6/30/2025,691,2.4,High
6/30/2025,692,2.3,High
6/30/2025,693,3.5,Medium
6/30/2025,694,3.4,Medium
6/30/2025,695,2.7,High
6/30/2025,696,1,Medium
6/30/2025,697,3.3,Low
6/30/2025,698,4.8,Low
6/30/2025,699,4.8,Medium
6/30/2025,700,3.7,Low
6/30/2025,701,2.9,Medium
6/30/2025,702,3.4,Medium
6/30/2025,703,2.6,Medium
6/30/2025,704,3.7,Medium
6/30/2025,705,2.2,Medium
6/30/2025,706,3.4,Low
6/30/2025,707,4,Medium
6/30/2025,708,3.6,Medium
6/30/2025,709,2.5,Low
6/30/2025,710,4.3,High
6/30/2025,711,3.2,Medium
6/30/2025,712,3.2,Medium
6/30/2025,713,3.7,High
6/30/2025,714,1,Medium
6/30/2025,715,2.5,High
6/30/2025,716,2.9,Medium
6/30/2025,717,4.1,Medium
6/30/2025,718,2,Medium
6/30/2025,719,3.5,Medium
6/30/2025,720,2.6,Medium
6/30/2025,721,3,High
6/30/2025,722,2.5,Medium
6/30/2025,723,2.8,Medium
6/30/2025,724,3.2,Medium
6/30/2025,725,3.1,Medium
6/30/2025,726,2.6,High
6/30/2025,727,1.6,Medium
6/30/2025,728,2.5,Medium
6/30/2025,729,2.6,Medium
6/30/2025,730,3.7,Low
6/30/2025,731,2.5,Medium
6/30/2025,732,2.7,Medium
6/30/2025,733,4.1,Medium
6/30/2025,734,2.9,High
6/30/2025,735,3.5,Medium
6/30/2025,736,2.4,High
6/30/2025,737,4.1,Low
6/30/2025,738,3.2,Low
6/30/2025,739,2.1,Low
6/30/2025,740,3.7,Medium
6/30/2025,741,3,Medium
6/30/2025,742,4,High
6/30/2025,743,4.2,Medium
6/30/2025,744,2.9,Low
6/30/2025,745,3.3,Low
6/30/2025,746,3.2,Medium
6/30/2025,747,4.4,Low
6/30/2025,748,2.5,Medium
6/30/2025,749,2,Medium
6/30/2025,750,3,High
6/30/2025,751,2.5,Medium
6/30/2025,752,3.1,Medium
6/30/2025,753,4.3,Low
6/30/2025,754,3.4,Low
6/30/2025,755,3.5,Medium
6/30/2025,756,5,High
6/30/2025,757,3,Medium
6/30/2025,758,2.7,Low
6/30/2025,759,3.2,Low
6/30/2025,760,2.7,High
6/30/2025,761,3.5,Low
6/30/2025,762,2.4,Medium
6/30/2025,763,2.5,Medium
6/30/2025,764,1.1,High
6/30/2025,765,3,Low
6/30/2025,766,2.8,High
6/30/2025,767,3.3,Medium
6/30/2025,768,5,Low
6/30/2025,769,4.1,Low
6/30/2025,770,3.9,Medium
6/30/2025,771,1.9,Low
6/30/2025,772,3.7,Medium
6/30/2025,773,3.7,Low
6/30/2025,774,3.6,Medium
6/30/2025,775,2.6,Medium
6/30/2025,776,3.3,Low
6/30/2025,777,3.5,Medium
6/30/2025,778,2.9,Low
6/30/2025,779,3.6,Medium
6/30/2025,780,3.8,Medium
6/30/2025,781,3.1,Low
6/30/2025,782,2.4,Low
6/30/2025,783,1.9,Medium
6/30/2025,784,3,Medium
6/30/2025,785,2.4,Medium
6/30/2025,786,2.9,Medium
6/30/2025,787,3.5,Medium
6/30/2025,788,3.5,Medium
6/30/2025,789,2.8,Low
6/30/2025,790,2.6,Medium
6/30/2025,791,3,Low
6/30/2025,792,4.3,High
6/30/2025,793,1.7,Medium
6/30/2025,794,2.9,High
6/30/2025,795,2.3,Medium
6/30/2025,796,3.9,High
6/30/2025,797,3.5,High
6/30/2025,798,3.3,Medium
6/30/2025,799,2.5,Medium
6/30/2025,800,2.3,Medium
6/30/2025,801,3.5,Medium
6/30/2025,802,3.1,Low
6/30/2025,803,2.5,Medium
6/30/2025,804,3.2,Medium
6/30/2025,805,3,Medium
6/30/2025,806,4,Medium
6/30/2025,807,3.6,Low
6/30/2025,808,3.1,High
6/30/2025,809,3.4,High
6/30/2025,810,3.5,Low
6/30/2025,811,3.2,Medium
6/30/2025,812,2.1,High
6/30/2025,813,4.2,Low
6/30/2025,814,5,Medium
6/30/2025,815,4.2,Medium
6/30/2025,816,4,Low
6/30/2025,817,2.9,High
6/30/2025,818,4.4,Medium
6/30/2025,819,3.5,Medium
6/30/2025,820,4,Medium
6/30/2025,821,3.4,High
6/30/2025,822,2.3,Medium
6/30/2025,823,3.1,High
6/30/2025,824,3.8,High
6/30/2025,825,2.9,Medium
6/30/2025,826,3.4,Medium
6/30/2025,827,2.9,Medium
6/30/2025,828,2.6,Medium
6/30/2025,829,1,Medium
6/30/2025,830,1.5,Medium
6/30/2025,831,2.4,Medium
6/30/2025,832,2.8,Medium
6/30/2025,833,4.1,Medium
6/30/2025,834,2.5,High
6/30/2025,835,2.4,Medium
6/30/2025,836,4.7,Low
6/30/2025,837,4,Medium
6/30/2025,838,5,Medium
6/30/2025,839,3.7,Low
6/30/2025,840,2.5,Low
6/30/2025,841,1.3,Low
6/30/2025,842,3.5,Medium
6/30/2025,843,4.6,Medium
6/30/2025,844,2.6,Low
6/30/2025,845,3.6,Medium
6/30/2025,846,2.4,Medium
6/30/2025,847,2.5,Medium
6/30/2025,848,3,Low
6/30/2025,849,4.2,Medium
6/30/2025,850,3.2,Medium
6/30/2025,851,3.4,Low
6/30/2025,852,2.8,Medium
6/30/2025,853,3.2,High
6/30/2025,854,3.2,Medium
6/30/2025,855,3.6,High
6/30/2025,856,2.8,Medium
6/30/2025,857,3.4,Medium
6/30/2025,858,1.2,Medium
6/30/2025,859,1.9,Medium
6/30/2025,860,3.2,High
6/30/2025,861,2.2,Medium
6/30/2025,862,3.6,High
6/30/2025,863,3,Medium
